DeviceStatsMonitor.on_train_batch_start/cpu_percent,step,DeviceStatsMonitor.on_train_batch_start/cpu_swap_percent,DeviceStatsMonitor.on_train_batch_start/cpu_vm_percent,DeviceStatsMonitor.on_train_batch_end/cpu_percent,DeviceStatsMonitor.on_train_batch_end/cpu_vm_percent,DeviceStatsMonitor.on_train_batch_end/cpu_swap_percent,val_acc_best,val_loss,epoch,val_acc,train_loss,train_acc
0.0,49,17.3,83.7,,,,,,,,,
,49,,,17.9,83.8,17.3,,,,,,
27.4,99,17.3,83.7,,,,,,,,,
,99,,,29.2,83.7,17.3,,,,,,
18.7,149,17.3,83.7,,,,,,,,,
,149,,,25.0,83.7,17.3,,,,,,
17.3,199,17.3,83.7,,,,,,,,,
,199,,,12.5,83.7,17.3,,,,,,
15.3,249,17.3,83.7,,,,,,,,,
,249,,,66.7,83.7,17.3,,,,,,
18.8,299,17.3,83.7,,,,,,,,,
,299,,,21.4,83.7,17.3,,,,,,
16.9,349,17.3,83.8,,,,,,,,,
,349,,,16.7,83.8,17.3,,,,,,
16.0,399,17.3,83.7,,,,,,,,,
,399,,,16.7,83.7,17.3,,,,,,
,429,,,,,,0.9638000130653381,0.1251414716243744,0,0.9638000130653381,,
,429,,,,,,,,0,,0.3285965621471405,0.9218363761901855
13.2,449,17.3,83.8,,,,,,,,,
,449,,,16.7,83.8,17.3,,,,,,
24.5,499,17.3,83.8,,,,,,,,,
,499,,,17.6,83.8,17.3,,,,,,
16.4,549,17.3,83.9,,,,,,,,,
,549,,,16.7,83.9,17.3,,,,,,
23.1,599,17.3,83.9,,,,,,,,,
,599,,,16.7,83.9,17.3,,,,,,
17.5,649,17.3,83.9,,,,,,,,,
,649,,,18.2,83.9,17.3,,,,,,
18.8,699,17.3,83.9,,,,,,,,,
,699,,,8.3,83.9,17.3,,,,,,
19.3,749,17.3,83.9,,,,,,,,,
,749,,,16.7,83.9,17.3,,,,,,
17.8,799,17.3,83.9,,,,,,,,,
,799,,,16.7,83.9,17.3,,,,,,
19.3,849,17.3,83.9,,,,,,,,,
,849,,,16.7,83.9,17.3,,,,,,
,859,,,,,,0.9729999899864197,0.09037257730960846,1,0.9729999899864197,,
,859,,,,,,,,1,,0.10724000632762909,0.9681817889213562
12.0,899,17.3,83.8,,,,,,,,,
,899,,,20.8,83.8,17.3,,,,,,
18.3,949,17.3,83.8,,,,,,,,,
,949,,,16.7,83.8,17.3,,,,,,
18.6,999,17.3,83.8,,,,,,,,,
,999,,,16.7,83.8,17.3,,,,,,
16.7,1049,17.3,83.9,,,,,,,,,
,1049,,,0.0,83.9,17.3,,,,,,
22.7,1099,17.3,83.8,,,,,,,,,
,1099,,,12.5,83.8,17.3,,,,,,
19.5,1149,17.3,83.8,,,,,,,,,
,1149,,,16.7,83.8,17.3,,,,,,
19.3,1199,17.3,83.8,,,,,,,,,
,1199,,,16.7,83.8,17.3,,,,,,
16.8,1249,17.3,83.8,,,,,,,,,
,1249,,,25.0,83.8,17.3,,,,,,
,1289,,,,,,0.9729999899864197,0.08996324241161346,2,0.972000002861023,,
,1289,,,,,,,,2,,0.07435755431652069,0.9769091010093689
11.2,1299,17.3,83.7,,,,,,,,,
,1299,,,16.7,83.7,17.3,,,,,,
17.2,1349,17.3,83.6,,,,,,,,,
,1349,,,25.0,83.6,17.3,,,,,,
22.2,1399,17.3,83.7,,,,,,,,,
,1399,,,12.5,83.7,17.3,,,,,,
18.5,1449,17.3,83.7,,,,,,,,,
,1449,,,33.3,83.7,17.3,,,,,,
17.8,1499,17.3,83.7,,,,,,,,,
,1499,,,12.5,83.7,17.3,,,,,,
22.7,1549,17.3,83.7,,,,,,,,,
,1549,,,0.0,83.7,17.3,,,,,,
16.8,1599,17.3,83.7,,,,,,,,,
,1599,,,20.8,83.7,17.3,,,,,,
19.3,1649,17.3,83.6,,,,,,,,,
,1649,,,16.7,83.7,17.3,,,,,,
20.3,1699,17.3,83.7,,,,,,,,,
,1699,,,16.7,83.7,17.3,,,,,,
,1719,,,,,,0.9729999899864197,0.08709046244621277,3,0.9721999764442444,,
,1719,,,,,,,,3,,0.056235212832689285,0.982272744178772
