FIT Profiler Report

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                                	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                                 	|  -              	|  85760          	|  46.782         	|  100 %          	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                    	|  10.117         	|  4              	|  40.468         	|  86.503         	|
|  run_training_batch                                                                                                                                                    	|  0.0053355      	|  1720           	|  9.177          	|  19.617         	|
|  [LightningModule]MNISTLitModule.optimizer_step                                                                                                                        	|  0.0052895      	|  1720           	|  9.098          	|  19.448         	|
|  [Callback]RichProgressBar.on_train_batch_end                                                                                                                          	|  0.003043       	|  1720           	|  5.234          	|  11.188         	|
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                            	|  0.0027244      	|  1720           	|  4.686          	|  10.017         	|
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                          	|  0.0021407      	|  1720           	|  3.682          	|  7.8705         	|
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                               	|  0.0013547      	|  1720           	|  2.33           	|  4.9805         	|
|  [_EvaluationLoop].val_next                                                                                                                                            	|  0.004537       	|  162            	|  0.735          	|  1.5711         	|
|  [Callback]RichProgressBar.on_validation_batch_end                                                                                                                     	|  0.0038642      	|  162            	|  0.626          	|  1.3381         	|
|  [Callback]DeviceStatsMonitor.on_train_batch_start                                                                                                                     	|  0.00033779     	|  1720           	|  0.581          	|  1.2419         	|
|  [Callback]DeviceStatsMonitor.on_train_batch_end                                                                                                                       	|  0.00024128     	|  1720           	|  0.415          	|  0.88709        	|
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                        	|  0.0024012      	|  162            	|  0.389          	|  0.83152        	|
|  [LightningDataModule]MNISTDataModule.prepare_data                                                                                                                     	|  0.11           	|  1              	|  0.11           	|  0.23513        	|
|  [LightningModule]MNISTLitModule.optimizer_zero_grad                                                                                                                   	|  5.5233e-05     	|  1720           	|  0.095          	|  0.20307        	|
|  [Callback]ModelCheckpoint{'monitor': 'train_acc', 'mode': 'max', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end       	|  0.02325        	|  4              	|  0.093          	|  0.19879        	|
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                        	|  3.2944e-05     	|  1882           	|  0.062          	|  0.13253        	|
|  [LightningModule]MNISTLitModule.configure_gradient_clipping                                                                                                           	|  2.6744e-05     	|  1720           	|  0.046          	|  0.098328       	|
|  [Callback]RichModelSummary.on_before_backward                                                                                                                         	|  1.8605e-05     	|  1720           	|  0.032          	|  0.068402       	|
|  [Callback]RichProgressBar.on_train_epoch_start                                                                                                                        	|  0.008          	|  4              	|  0.032          	|  0.068402       	|
|  [LightningDataModule]MNISTDataModule.setup                                                                                                                            	|  0.031          	|  1              	|  0.031          	|  0.066265       	|
|  [LightningModule]MNISTLitModule.transfer_batch_to_device                                                                                                              	|  1.6472e-05     	|  1882           	|  0.031          	|  0.066265       	|
|  [Callback]DeviceStatsMonitor.setup                                                                                                                                    	|  0.016          	|  1              	|  0.016          	|  0.034201       	|
|  [LightningModule]MNISTLitModule.on_before_backward                                                                                                                    	|  9.3023e-06     	|  1720           	|  0.016          	|  0.034201       	|
|  [Callback]RichProgressBar.on_validation_batch_start                                                                                                                   	|  9.8765e-05     	|  162            	|  0.016          	|  0.034201       	|
|  [Callback]RichProgressBar.on_train_epoch_end                                                                                                                          	|  0.004          	|  4              	|  0.016          	|  0.034201       	|
|  [LightningModule]MNISTLitModule.on_validation_epoch_end                                                                                                               	|  0.003          	|  5              	|  0.015          	|  0.032064       	|
|  [Callback]EarlyStopping{'monitor': 'train_acc', 'mode': 'max'}.on_train_batch_start                                                                                   	|  8.7209e-06     	|  1720           	|  0.015          	|  0.032064       	|
|  [Callback]ModelCheckpoint{'monitor': 'train_acc', 'mode': 'max', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_after_backward        	|  8.7209e-06     	|  1720           	|  0.015          	|  0.032064       	|
|  [Callback]ModelCheckpoint{'monitor': 'train_acc', 'mode': 'max', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_end       	|  8.7209e-06     	|  1720           	|  0.015          	|  0.032064       	|
|  [Callback]RichModelSummary.on_before_optimizer_step                                                                                                                   	|  8.7209e-06     	|  1720           	|  0.015          	|  0.032064       	|
|  [LightningModule]MNISTLitModule.configure_callbacks                                                                                                                   	|  0.0            	|  1              	|  0.0            	|  0.0            	|
